text,label
i am still waiting on my card,2
what can i do if my card still hasnt arrived after 2 weeks,2
i have been waiting over a week is the card still coming,2
can i track my card while it is in the process of delivery,2
how do i know if i will get my card or if it is lost,2
when did you send me my new card,2
do you have info about the card on delivery,2
what do i do if i still have not received my new card,2
does the package with my card have tracking,2
i ordered my card but it still isnt here,2
why has my new card still not come,2
i still havent received my card after two weeks is it lost,2
can you track my card for me,2
is there a way to track the delivery of my card,2
its been a week since i ordered my card and its not here please help,2
will i be able to track the card that was sent to me,2
i dont have my card in 1 week should i be worried,2
how do i know when my new card is going to arrive,2
my new card has not been delivered to my home yet what is going on,2
its been a week since you issued me a card and i still didnt get it should i keep waiting,2
on the card that is coming whats the tracking info,2
what is the status of my cards delivery,2
have you sent out my card yet,2
my card isnt here yet,2
where is my new card,2
its been a week since you sent my card and i still dont have it,2
how do i track the card you sent me,2
when will i recieve my new card,2
when will i get my new card,2
what is the expected delivery date for my card,2
is there a tracking number for the card you sent me,2
i would like to track the card you sent to me,2
has my card been lost in delivery,2
my new card hasnt came in,2
where is the card i ordered 2 weeks ago,2
can i get an update on my replacement card,2
how long does it take for a new card to ship,2
whats the tracking on the card you sent,2
i havent received my card and am worried it is lost,2
my card still hasnt been delivered,2
i need to find out where the card is that i ordered,2
where is my credit card that was to be mailed,2
i ordered my card but it hasnt been delivered yet,2
am i able to track the card that was just sent to me,2
can you tell me why i havent received my new card,2
im still waiting for my new card,2
is my card lost i am still waiting for it to be delivered,2
should i keep waiting for my card to be delivered,2
can i track when my card will be delivered,2
how can i check on the status of my new card,2
a card has been sent to me how do i track it,2
is there a way i can get my card expedited,2
what can i do to track the card you sent me,2
why hasnt my card come in yet,2
how can i periodically check the delivery of the card you sent,2
whats the reason my new card hasnt come,2
how long does it take for me to get my new card,2
i dont have my card after 1 week what are my next steps,2
i know im getting a new card but would like know when i can expect to receive it,2
i want to find out what happened to my new card,2
was there a way for me to get tracking for that,2
i am still waiting for my card,2
my card hasnt arrived,2
can i track the card you sent to me,2
i havent gotten my new card,2
how long should it take for my new card to arrive in them mail what should i do if i never receive it,2
will i have to wait much longer for my new card to arrive,2
how to track the card you sent,2
2 weeks ago i ordered my new card it isnt here what should i do,2
how can i check on the delivery status of my card,2
my card has not been delivered yet and its been a week since i ordered it please help,2
whats the expected wait time to recieve my new card,2
how can i see the progress of delivery of the card that was sent,2
my card was supposed to arrive but hasnt,2
i ordered a card and would like to know how to track the delivery progress of it,2
how long will it take for me to get my card,2
my card hasnt shown up yet,2
does the card you sent have a tracking number,2
my card hasnt arrived in the mail yet i ordered it two weeks ago what can i do,2
maximum how many days get the courier,2
is there a reason my new card hasnt arrived yet,2
ive been waiting a while for my card is there a way to know when it will arrive,2
how can i track my cards delivery,2
can i track the card that was just sent to me,2
if i ordered my new card last week how much longer should i wait to receive it,2
whats go on where is my new card,2
where is my new card if i havent received it yet,2
where is my card,2
can you tell me why i havent received my new card yet,2
is there a way to track my card,2
is there a way to track the new card you sent me,2
im still waiting for my card,2
what do i need to do to get my new card which i have requested 2 weeks ago,2
what is the solution of this problem,2
could i get tracking on the card,2
can you help me track my card,2
shouldnt my new card be here by now,2
is there a reason my new card hasnt arrived,2
i would like to track a card sent to me how do i do that,2
is there a tracking number for the card,2
can you share card tracking number,2
i have not received my card and its been a week what do i do,2
is there a way i can check on the card on route to me,2
when will my new card arrive,2
why havent i received my new card yet,2
what is the expected delivery date of my card,2
my card hasnt came in the mail yet,2
i havent received my card,2
is it possible for me to track the card is was mailed to me,2
when will my new card be delivered,2
i was issued a card about a week ago why hasnt it come in yet,2
can you please tell me where my card is i ordered it 2 weeks ago,2
i still havent received my card in the mail,2
im still waiting for my card that was issued a week ago what should i do,2
i still havent gotten my new card when will it get here,2
do you have a tracking number for the card i was sent,2
how do i track the card you sent to me,2
is my new bank card on the way and is there a way to track it,2
could you send me and up date on the arrival of my card,2
how long does it take to recieve my new card,2
my card has not come in the mail yet,2
whats the card you sent mes tracking number,2
i havent got my card,2
why hasnt my card arrived yet,2
i thought i would have received my new card at this point,2
how long until my new card gets here,2
how much longer until i get my new card,2
am i able to track a card that has already been sent,2
is it possible to track the card you sent me,2
how long will it be to get this new card,2
how can i track card you sent,2
can the card was sen to me be tracked,2
why have i not got my new card,2
i need to track the card sent to me,2
its been two weeks and i havent gotten my card what do i do,2
i was expecting my new card by now,2
where is the tracking number for the card,2
i was issued a new card a week ago but still havent received it how long will it be until i receive it,2
can i track the card that you sent me in the mail,2
can you tell me if i can track the card you sent me,2
why have i not gotten my new card,2
im still waiting on my new card to be delivered,2
my new card isnt here and it was issued a week ago,2
i was supposed to receive my new card by now but it hasnt came in,2
is a tracking number available for the card that was just sent,2
why havent i gotten my new card,2
was there a number to track that i could get,2
how much longer is it going to take to get my new card,2
i havent gotten my credit card in the mail,2
my card hasnt arrived yet what do i do,2
my card still hasnt arrived after two weeks now what,2
my card appears to have never arrived,2
my card never arrived,2
what is my money worth in other countries,4
will my money be of equal value when i travel abroad,4
do you know the rate of exchange,4
what foreign exchange rate will i get on weekdays and on the weekends,4
what is the exchange looking like,4
how is the exchange rate doing,4
i would like to know how exchange rates are calculated when transferring funds,4
i would like to know what exchange rates you use,4
if i need to cash foreign transfers how does that work,4
do you know what your exchange rates are,4
how do i know what exchange rate i will get,4
what are you exchange rates,4
do you have the best exchange rate,4
where can i find your exchange rates,4
your exchange rates come from where,4
i need to know what your exchange rates are,4
whats the process for exchanges,4
what do you think of the exchange rate,4
how are exchange rates calculated at this bank,4
what do you use to figure out the exchange rate for the card,4
whats the foreign exchange rate i will receive,4
i need to know what foreign exchange rate i can get,4
what are the current exchange rates,4
what exchange rate will i receive,4
what is the basis of your exchange rates,4
hows the exchange rate,4
how do you determine your exchange rates,4
how do the foreign exchange rates work,4
where are you getting your exchange rates from,4
how is the exchange rate calculated,4
im interested in what your exchange rates are based on,4
how do you decide what the exchange rates are,4
what is the current exchange rate,4
what is the formula for your exchange rate,4
what method do you use for the exchange rate,4
what are interbanks current exchange rates,4
from where are coming your exchange rates,4
how do you calculate exchange rates,4
why is your exchange rate different on different days,4
where can i find the exchange rate for my transfer,4
where can i get your exchange rates from,4
how do you find the exchange rate,4
how are exchange rates determined,4
what value can i get for my currency,4
please explain your exchange rate policy,4
what are your exchange rates calculated from,4
what is an exchange rate,4
what is your opinion on the exchange rate,4
what are the exchange rates you assign,4
how do you determine exchange rates,4
how are your exchange rates calculated,4
how is an exchange rate calculated,4
when exchanging how much are the rates,4
what is the exchange rate for eur,4
how can i find your exchange rates,4
could you please tell me your exchange rates,4
is there an exchange rate,4
how does the exchange rate work,4
what is the present state of the exchange rate,4
how are foreign exchange rates determined,4
hows the exchange rate looking right now,4
please explain the exchange rates,4
what is the foreign exchange rate you will apply,4
explain the interbank exchange rate,4
what will my exchange rate be,4
how do you get exchange rates,4
what exchange rates do you use,4
how will i know what the exchange rate is,4
what factors effect the exchange rate,4
where does the exchange rate stand right now,4
id like to know what the foreign exchange rate will be,4
does the exchange rate change,4
how do your exchange rates factor in,4
will i know which exchange rate i will get,4
how do i know what the exchange rate will be when i make an exchange,4
is the exchange rate the same on weekends as the weekdays,4
how do you do exchanges,4
on what do you base your exchange rates,4
how do you come up with your exchange rate,4
what factors determine your exchange rate,4
how are the exchange rates determined,4
i would like to know what your exchange rates are,4
is the exchange rate current,4
what are the exchange rates,4
how much are the rates of exchange,4
how do you decide what your exchange rates are,4
your exchange rates are coming from where,4
is there a specific source that the exchange rate for the transfer im planning on making is pulled from,4
how are the exchange rates for transfers calculated,4
how do i know how much money i will have when i travel abroad,4
how do you do currency exchanges,4
can you explain your exchange rates basis,4
how did you guys get your exchange rate,4
can you tell me your exchange rates,4
could you tell me what your exchange rates are,4
does this app have the same exchange rate as third parties,4
what are your exchange rates at,4
how is the current exchange rate,4
what is the system for determining the exchange rate,4
i am travelling and i was wondering what your exchange rates are,4
how can i tell what foreign exchange rate i will get,4
tell me your opinion on the exchange rate,4
id like to know what you guys look at to decide an exchange rate,4
how does the exchange rate work on this app,4
where do you find your exchange rates,4
i want to know your exchange rates,4
what exchange rate is it,4
what is the source of your exchange rates,4
i need to know about exchange rates,4
where do you get those exchange rates,4
how do you determine the exchange rate,4
what foreign exchange rate will i get,4
has there been any activity on my card today,5
i lost my wallet and all my cards were in it,5
im panicking i lost my card help,5
i need to report a stolen card,5
how do i replace a stolen card,5
can you provide information for freezing my card immediately,5
whats the phone number to freeze a card,5
i cant find my card can you help,5
hi i am on vacation in spain and someone stole my bag with my phone and wallet with cards and everything can you block it asap and then i want to order a new one also asap,5
help i lost my card,5
my card is missing please help,5
i think that my card has been stolen,5
my card was stolen,5
a fee shouldnt apply to me if my card was stolen,5
my card has been stolen i reported it with the police but i need to report it with you as well,5
can you tell me the status of my new card,5
my card has been stolen what do i do,5
i cant find my card it is lost,5
my card is lost please help me,5
i believe that my card has been stolen,5
what should i do if i think my card was stolen,5
can you send me a new card and block my current one im in spain and my wallet was stolen,5
i thought i left my card at a restaurant but they claim not to have it and now i dont have any idea where it is im so worried that someone might be using it fraudulently is there any way to look into this,5
my bag got stolen with all my cards can you please cancel my card and send a new one,5
i think my card is stolen,5
help i fear that my card was stolen,5
someone stole my card,5
are you able to guide me to my cards location,5
how can i report that my card was stolen i made a police report first,5
my card is missing help,5
my wallet was stolen along with my cards how do i put a freeze on my cards and order a new one,5
could you please freeze my card immediately,5
i need help i lost my card,5
what can i do if i lost my card,5
i think that the card is stolen what are my next steps,5
what do i do if my card is stolen,5
my card is stolen help,5
i lost track of my card,5
report stolen card,5
help my card is stolen,5
my card was lost on vacation i dont know where it is can you help me take care of this immediately,5
i have lost my card what is my next step,5
my card has been lost help,5
what do i do if my card has been lost or stolen,5
help me i lost my card what should i do,5
someone stole my wallet with my card in it while vacationing in spain i really need my card blocked and a new one ordered,5
who can i speak with regarding a lost card,5
my card has gone missing,5
oh my god i lost my card what should i do,5
i cant find my card what should i do,5
what is the first step that i should take after my card has been stolen,5
i seem to have lost my card,5
my card was stolen what do i need to do,5
someone took my card without permission,5
